2023-05-17 11:26:14.726 [info] Log level: Info
2023-05-17 11:26:14.726 [info] Validating found git in: "git"
2023-05-17 11:26:14.726 [info] Using git "2.34.1" from "git"
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [68ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [13ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [4ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [2ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [2ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [4ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [1ms]
2023-05-17 11:26:14.726 [info] > git rev-parse --show-toplevel [2ms]
