2023-06-07 12:01:58.570 [info] Log level: Info
2023-06-07 12:01:58.570 [info] Validating found git in: "git"
2023-06-07 12:01:58.570 [info] Using git "2.34.1" from "git"
2023-06-07 12:01:58.570 [info] > git rev-parse --show-toplevel [7ms]
2023-06-07 12:01:58.570 [info] > git rev-parse --show-toplevel [2ms]
2023-06-07 12:01:58.570 [info] > git rev-parse --show-toplevel [2ms]
2023-06-07 12:01:58.570 [info] > git rev-parse --show-toplevel [2ms]
2023-06-07 12:01:58.570 [info] > git rev-parse --show-toplevel [1ms]
2023-06-07 12:01:58.570 [info] > git rev-parse --show-toplevel [4ms]
2023-06-07 12:01:58.570 [info] > git rev-parse --show-toplevel [2ms]
2023-06-07 12:01:58.570 [info] > git rev-parse --show-toplevel [2ms]
2023-06-07 12:01:58.570 [info] > git rev-parse --show-toplevel [3ms]
2023-06-07 12:01:58.570 [info] > git rev-parse --show-toplevel [12ms]
2023-06-07 12:01:58.570 [info] > git rev-parse --show-toplevel [2ms]
2023-06-07 12:01:58.571 [info] > git rev-parse --show-toplevel [1ms]
2023-06-07 12:01:58.571 [info] > git rev-parse --show-toplevel [2ms]
2023-06-07 12:01:58.571 [info] > git rev-parse --show-toplevel [2ms]
2023-06-07 12:01:58.571 [info] > git rev-parse --show-toplevel [1ms]
2023-06-07 12:01:58.571 [info] > git rev-parse --show-toplevel [1ms]
2023-06-07 12:01:58.571 [info] > git rev-parse --show-toplevel [1ms]
2023-06-07 12:01:58.571 [info] > git rev-parse --show-toplevel [1ms]
2023-06-07 12:01:58.571 [info] > git rev-parse --show-toplevel [2ms]
